,index,rk,player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches,year,player_year,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,expected_xa,per_90_minutes_xg,per_90_minutes_xa,per_90_minutes_xg+xa,per_90_minutes_npxg,per_90_minutes_npxg+xa,competition
46,46,47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33.0,1985.0,36.0,1619.0,1882.0,86.0,41782.0,12194.0,6.0,16.0,37.5,821.0,898.0,91.4,792.0,968.0,81.8,0,0.4,-0.4,5.0,96.0,5.0,1.0,82.0,Matches,2020,Raúl Albiol2020,1,14,4,28.6,0.39,0.11,0.07,0.25,0.0,0,0,1.4,1.4,0.1,-0.4,-0.4,36,36,3237,1,0,0,0,9,0,0.03,0.0,0.03,0.03,0.03,0.4,0.04,0.01,0.05,0.04,0.05,ES
47,47,48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29.0,1989.0,9.6,344.0,508.0,67.7,6187.0,2445.0,6.0,32.0,18.8,271.0,330.0,82.1,67.0,146.0,45.9,3,1.9,1.1,18.0,31.0,20.0,9.0,65.0,Matches,2020,Marc Albrighton2020,0,10,2,20.0,1.04,0.21,0.0,0.0,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,20,9,867,0,3,0,0,2,0,0.0,0.31,0.31,0.0,0.31,1.9,0.06,0.19,0.26,0.06,0.26,ENG
48,48,49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25.0,1993.0,10.3,181.0,230.0,78.7,2575.0,372.0,6.0,14.0,42.9,156.0,183.0,85.2,19.0,33.0,57.6,1,1.4,-0.4,9.0,6.0,6.0,0.0,9.0,Matches,2020,Paco Alcácer2020,4,25,8,32.0,2.44,0.78,0.16,0.5,1.0,0,0,3.2,3.2,0.13,0.8,0.8,13,11,924,4,1,0,0,1,0,0.39,0.1,0.49,0.39,0.49,1.4,0.31,0.14,0.45,0.31,0.45,ES
49,49,50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25.0,1993.0,5.9,84.0,112.0,75.0,1133.0,186.0,4.0,8.0,50.0,75.0,92.0,81.5,5.0,12.0,41.7,1,1.0,0.0,5.0,2.0,2.0,0.0,7.0,Matches,2020,Paco Alcácer2020,5,15,7,46.7,2.55,1.19,0.33,0.71,0.0,0,0,3.8,3.8,0.25,1.2,1.2,11,6,530,5,1,0,0,0,0,0.85,0.17,1.02,0.85,1.02,1.0,0.64,0.17,0.81,0.64,0.81,DE
50,50,51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28.0,1991.0,19.7,1649.0,1840.0,89.6,34565.0,8766.0,30.0,51.0,58.8,1153.0,1249.0,92.3,466.0,540.0,86.3,0,1.0,-1.0,22.0,185.0,18.0,1.0,206.0,Matches,2020,Thiago Alcántara2020,3,19,8,42.1,0.97,0.41,0.16,0.38,0.0,0,0,2.5,2.5,0.13,0.5,0.5,24,20,1771,3,0,0,0,7,0,0.15,0.0,0.15,0.15,0.15,1.0,0.13,0.05,0.18,0.13,0.18,DE
51,51,52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28.0,1991.0,21.4,831.0,1059.0,78.5,19154.0,4979.0,11.0,39.0,28.2,544.0,616.0,88.3,276.0,404.0,68.3,2,0.8,1.2,14.0,95.0,4.0,1.0,104.0,Matches,2020,Rubén Alcaraz2020,2,33,8,24.2,1.54,0.37,0.06,0.25,9.0,0,0,1.7,1.7,0.05,0.3,0.3,27,20,1927,2,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,0.8,0.08,0.04,0.12,0.08,0.12,ES
52,52,53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30.0,1989.0,32.9,1567.0,1895.0,82.7,37306.0,9753.0,10.0,26.0,38.5,968.0,1040.0,93.1,589.0,829.0,71.0,2,1.1,0.9,11.0,131.0,17.0,1.0,89.0,Matches,2020,Toby Alderweireld2020,2,16,5,31.3,0.49,0.15,0.13,0.4,0.0,0,0,1.0,1.0,0.06,1.0,1.0,33,33,2957,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,0.03,0.03,0.06,0.03,0.06,ENG
53,53,54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28.0,1991.0,21.3,910.0,1170.0,77.8,15008.0,6447.0,14.0,35.0,40.0,764.0,896.0,85.3,132.0,239.0,55.2,1,1.3,-0.3,13.0,67.0,12.0,6.0,150.0,Matches,2020,Haitam Aleesami2020,1,2,1,50.0,0.09,0.05,0.5,1.0,0.0,0,0,0.1,0.1,0.07,0.9,0.9,22,21,1916,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.3,0.01,0.06,0.07,0.01,0.07,FR
54,54,55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26.0,1992.0,1.2,23.0,35.0,65.7,329.0,41.0,2.0,3.0,66.7,18.0,28.0,64.3,3.0,4.0,75.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,2020,Álex Alegría2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,6,0,109,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES
55,55,56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21.0,1998.0,1.9,143.0,156.0,91.7,2693.0,591.0,3.0,6.0,50.0,106.0,109.0,97.2,34.0,41.0,82.9,0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,Matches,2020,Carles Aleñá2020,0,1,1,100.0,0.52,0.52,0.0,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0,4,2,172,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,ES
