,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2365,Oumar Solet\Oumar-Solet,fr FRA,DF,Lyon,fr Ligue 1,19,2000,0.1,4,5,80.0,106,34,0,0,,2,2,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches
2366,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,de Bundesliga,30,1988,34.0,1270,1545,82.2,35784,17975,2,4,50.0,648,655,98.9,620,886,70.0,0,0.0,0.0,0,9,0,0,1,Matches
2367,Kévin Soni\Kevin-Soni,cm CMR,FW,Espanyol,es La Liga,21,1998,0.0,1,2,50.0,12,5,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2368,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,26,1993,38.0,503,1130,44.5,26353,21648,0,0,,58,59,98.3,445,1071,41.5,0,0.0,0.0,0,63,1,0,2,Matches
2369,Bruno Soriano\Bruno-Soriano,es ESP,MF,Villarreal,es La Liga,35,1984,2.9,252,267,94.4,4573,1116,4,4,100.0,198,211,93.8,50,52,96.2,0,0.0,0.0,0,8,1,0,14,Matches
2370,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,es La Liga,21,1997,11.0,168,297,56.6,5903,4092,0,0,,66,67,98.5,102,230,44.3,0,0.0,0.0,0,2,0,0,1,Matches
2371,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,it Serie A,28,1991,27.4,1031,1227,84.0,16658,5019,25,52,48.1,859,973,88.3,147,202,72.8,5,5.3,-0.3,54,104,42,6,158,Matches
2372,Riccardo Sottil\Riccardo-Sottil,it ITA,FWDF,Fiorentina,it Serie A,20,1999,5.7,160,206,77.7,2518,376,4,13,30.8,138,164,84.1,18,29,62.1,0,0.6,-0.6,5,4,5,1,13,Matches
2373,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,eng Premier League,24,1995,11.6,274,392,69.9,4852,1163,10,22,45.5,210,285,73.7,54,85,63.5,0,0.4,-0.4,2,25,4,0,23,Matches
2374,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,fr Ligue 1,27,1992,4.6,328,340,96.5,6842,1802,3,5,60.0,227,234,97.0,98,101,97.0,0,0.0,0.0,0,8,0,0,4,Matches
2375,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Genoa,it Serie A,27,1992,7.1,295,317,93.1,6676,1181,6,7,85.7,168,180,93.3,121,130,93.1,0,0.0,0.0,0,4,0,0,4,Matches
2376,Boubakary Soumaré\Boubakary-Soumare,fr FRA,MF,Lille,fr Ligue 1,20,1999,13.5,673,746,90.2,13230,2988,12,19,63.2,485,525,92.4,176,202,87.1,0,0.5,-0.5,11,93,5,1,67,Matches
2377,Bryan Soumaré\Bryan-Soumare,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,4.3,99,147,67.3,1757,451,2,8,25.0,78,104,75.0,19,35,54.3,0,0.4,-0.4,5,5,5,0,15,Matches
2378,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,Montpellier,fr Ligue 1,27,1992,22.4,809,1064,76.0,13691,5981,13,57,22.8,681,805,84.6,115,202,56.9,0,1.1,-1.1,13,52,13,2,145,Matches
2379,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,22,1997,19.4,717,876,81.8,14465,3404,15,38,39.5,517,586,88.2,185,252,73.4,3,2.5,+0.5,25,77,20,9,92,Matches
2380,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,eng Premier League,23,1996,33.7,2035,2239,90.9,41675,12071,11,28,39.3,1469,1552,94.7,555,659,84.2,1,0.3,+0.7,4,114,3,0,87,Matches
2381,Nikolas Špalek\Nikolas-Spalek,sk SVK,MFFW,Brescia,it Serie A,22,1997,17.5,304,446,68.2,4164,1077,13,35,37.1,268,338,79.3,23,73,31.5,1,1.8,-0.8,17,17,10,1,28,Matches
2382,Leonardo Spinazzola\Leonardo-Spinazzola,it ITA,DF,Roma,it Serie A,26,1993,17.2,813,1018,79.9,15484,4640,9,47,19.1,639,717,89.1,165,254,65.0,2,2.9,-0.9,23,34,24,9,92,Matches
2383,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,5.8,130,152,85.5,3164,1386,1,1,100.0,79,79,100.0,50,72,69.4,0,0.0,0.0,0,0,0,0,0,Matches
2384,Mattia Sprocati\Mattia-Sprocati,it ITA,FW,Parma,it Serie A,26,1992,6.6,145,207,70.0,2162,660,5,13,38.5,125,161,77.6,15,33,45.5,0,0.2,-0.2,5,9,9,0,21,Matches
2385,Bassem Srarfi\Bassem-Srarfi,tn TUN,FWDF,Nice,fr Ligue 1,22,1997,1.5,42,50,84.0,714,94,1,4,25.0,34,37,91.9,7,9,77.8,0,0.1,-0.1,1,0,2,0,3,Matches
2386,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,eng Premier League,25,1994,0.5,17,23,73.9,195,36,1,2,50.0,16,20,80.0,0,1,0.0,0,0.0,0.0,0,3,0,0,1,Matches
2387,Dennis Srbeny\Dennis-Srbeny,de GER,FWMF,Paderborn 07,de Bundesliga,25,1994,12.4,172,274,62.8,2871,669,8,31,25.8,138,196,70.4,26,47,55.3,1,0.6,+0.4,7,18,5,0,18,Matches
2388,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,de Bundesliga,22,1996,23.5,854,962,88.8,19183,6242,9,22,40.9,545,584,93.3,300,356,84.3,2,0.6,+1.4,3,43,2,1,45,Matches
2389,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,eng Premier League,23,1996,17.2,560,780,71.8,9312,3999,13,52,25.0,478,578,82.7,69,150,46.0,2,2.2,-0.2,10,42,6,2,80,Matches
2390,Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DF,Hoffenheim,de Bundesliga,25,1993,4.4,149,189,78.8,2772,1070,3,6,50.0,113,129,87.6,33,54,61.1,0,0.2,-0.2,3,12,5,4,24,Matches
2391,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DF,Schalke 04,de Bundesliga,28,1990,9.0,368,460,80.0,8561,3004,3,14,21.4,230,253,90.9,135,193,69.9,0,0.0,0.0,0,31,2,0,36,Matches
2392,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,eng Premier League,29,1989,7.9,222,310,71.6,3619,1365,8,17,47.1,177,221,80.1,37,72,51.4,0,0.8,-0.8,11,14,12,1,41,Matches
2393,Niklas Stark\Niklas-Stark,de GER,DF,Hertha BSC,de Bundesliga,24,1995,19.2,710,848,83.7,15778,5699,7,24,29.2,463,518,89.4,240,306,78.4,0,0.5,-0.5,3,55,3,0,60,Matches
2394,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,0.1,1,2,50.0,26,9,0,0,,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
2395,Renato Steffen\Renato-Steffen,ch SUI,MFFW,Wolfsburg,de Bundesliga,27,1991,17.6,550,727,75.7,10033,3187,10,35,28.6,434,533,81.4,106,159,66.7,3,2.8,+0.2,27,37,24,9,90,Matches
2396,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17.0,441,620,71.1,15759,10278,2,2,100.0,170,171,99.4,269,447,60.2,0,0.2,-0.2,2,7,1,0,1,Matches
2397,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,eng Premier League,30,1989,28.1,1421,1641,86.6,29947,7020,18,36,50.0,1006,1111,90.5,397,494,80.4,1,1.1,-0.1,18,143,19,2,140,Matches
2398,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,eng Premier League,25,1994,27.2,906,1199,75.6,20756,7435,10,27,37.0,577,661,87.3,319,511,62.4,3,1.2,+1.8,8,84,10,0,90,Matches
2399,Mariusz Stępiński\Mariusz-Stepinski,pl POL,FW,Hellas Verona,it Serie A,24,1995,7.8,115,171,67.3,1526,128,9,23,39.1,99,130,76.2,7,18,38.9,1,0.1,+0.9,2,5,0,0,1,Matches
2400,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,eng Premier League,24,1994,29.5,983,1217,80.8,13848,2795,21,82,25.6,889,1025,86.7,73,110,66.4,1,7.0,-6.0,47,31,55,6,97,Matches
2401,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,29,1990,37.2,1406,1897,74.1,24265,9846,17,99,17.2,1148,1346,85.3,241,452,53.3,4,4.6,-0.6,33,105,51,10,248,Matches
2402,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,eng Premier League,28,1991,13.1,291,405,71.9,4149,1193,15,41,36.6,243,302,80.5,33,62,53.2,0,0.5,-0.5,11,31,8,1,41,Matches
2403,Lars Stindl\Lars-Stindl,de GER,MFFW,M'gladbach,de Bundesliga,30,1988,15.9,616,762,80.8,10533,1770,12,39,30.8,494,574,86.1,110,149,73.8,3,3.0,0.0,27,47,13,2,52,Matches
2404,Kevin Stöger\Kevin-Stoger,at AUT,MF,Düsseldorf,de Bundesliga,25,1993,14.1,778,969,80.3,15590,4004,16,35,45.7,557,628,88.7,205,306,67.0,4,2.0,+2.0,24,75,16,3,108,Matches
2405,Vlatko Stojanovski\Vlatko-Stojanovski,mk MKD,FW,Nîmes,fr Ligue 1,22,1997,1.4,20,28,71.4,358,36,0,4,0.0,17,21,81.0,3,3,100.0,0,0.1,-0.1,3,1,1,1,1,Matches
2406,John Stones\John-Stones,eng ENG,DF,Manchester City,eng Premier League,25,1994,12.5,966,1016,95.1,21068,5923,1,6,16.7,652,682,95.6,313,328,95.4,0,0.1,-0.1,2,80,1,0,54,Matches
2407,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,38.0,954,1224,77.9,24572,15782,66,67,98.5,493,498,99.0,395,659,59.9,0,0.2,-0.2,2,18,0,0,1,Matches
2408,Tobias Strobl\Tobias-Strobl,de GER,MFDF,M'gladbach,de Bundesliga,29,1990,6.8,347,394,88.1,7051,2330,1,6,16.7,260,276,94.2,86,112,76.8,0,0.3,-0.3,4,34,4,0,38,Matches
2409,Christian Strohdiek\Christian-Strohdiek,de GER,DF,Paderborn 07,de Bundesliga,31,1988,15.1,477,634,75.2,12665,5125,2,13,15.4,262,311,84.2,213,310,68.7,2,1.2,+0.8,9,50,2,0,46,Matches
2410,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,15.7,824,941,87.6,15353,4225,20,35,57.1,638,697,91.5,166,209,79.4,3,0.8,+2.2,12,83,10,2,86,Matches
2411,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,it Serie A,28,1991,31.0,1231,1628,75.6,20959,10132,24,64,37.5,1007,1151,87.5,200,413,48.4,3,1.9,+1.1,25,92,50,28,219,Matches
2412,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Genoa,it Serie A,26,1993,13.9,366,498,73.5,6949,2030,14,23,60.9,275,336,81.8,77,139,55.4,2,1.1,+0.9,11,31,10,3,49,Matches
2413,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,es La Liga,31,1988,28.8,992,1515,65.5,19862,11322,16,59,27.1,745,946,78.8,231,510,45.3,4,2.3,+1.7,32,134,42,18,335,Matches
2414,Denis Suárez\Denis-Suarez,es ESP,MFFW,Celta Vigo,es La Liga,25,1994,18.1,664,876,75.8,11383,3793,13,52,25.0,529,616,85.9,122,208,58.7,5,4.6,+0.4,43,64,35,10,113,Matches
2415,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,es La Liga,32,1987,22.2,529,697,75.9,8520,1146,18,63,28.6,436,529,82.4,75,105,71.4,8,3.7,+4.3,30,19,19,2,37,Matches
2416,Mathías Suárez\Mathias-Suarez,uy URU,DF,Montpellier,fr Ligue 1,23,1996,0.7,19,27,70.4,301,169,1,5,20.0,15,17,88.2,3,5,60.0,0,0.0,0.0,0,0,0,0,4,Matches
2417,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,21.8,539,737,73.1,12454,5025,6,21,28.6,329,396,83.1,204,320,63.8,0,0.3,-0.3,6,60,5,0,73,Matches
2418,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,eng Premier League,23,1996,0.8,14,21,66.7,155,37,3,4,75.0,10,16,62.5,1,1,100.0,0,0.1,-0.1,1,0,2,0,2,Matches
2419,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,31,1988,4.4,164,192,85.4,3510,1352,1,5,20.0,111,119,93.3,52,68,76.5,0,0.0,0.0,0,6,0,0,5,Matches
2420,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,23,1995,7.1,570,612,93.1,13277,4119,2,5,40.0,353,369,95.7,215,238,90.3,1,0.5,+0.5,2,44,4,0,37,Matches
2421,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,eng Premier League,30,1989,1.5,59,67,88.1,1266,270,2,2,100.0,36,41,87.8,21,24,87.5,0,0.1,-0.1,2,4,0,0,5,Matches
2422,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Mallorca,es La Liga,30,1989,0.1,1,2,50.0,26,14,0,0,,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
2423,Stoppila Sunzu\Stoppila-Sunzu,zm ZAM,DF,Metz,fr Ligue 1,30,1989,15.0,454,520,87.3,9900,3153,7,14,50.0,308,325,94.8,139,181,76.8,0,0.0,0.0,0,14,0,0,10,Matches
2424,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,eng Premier League,32,1986,2.6,102,127,80.3,1959,487,5,5,100.0,73,89,82.0,24,33,72.7,0,0.0,0.0,1,6,1,0,10,Matches
2425,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,eng Premier League,21,1998,0.3,4,10,40.0,64,22,0,0,,4,9,44.4,0,1,0.0,0,0.0,0.0,0,1,1,0,1,Matches
2426,Suso\Suso,es ESP,FWMF,Sevilla,es La Liga,25,1993,8.7,293,391,74.9,5241,1509,5,23,21.7,234,278,84.2,54,90,60.0,1,1.3,-0.3,15,23,23,6,51,Matches
2427,Suso\Suso,es ESP,FWMF,Milan,it Serie A,25,1993,15.1,579,753,76.9,11104,3203,7,26,26.9,440,512,85.9,132,215,61.4,2,3.8,-1.8,41,45,53,16,112,Matches
2428,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,19,2000,3.1,150,172,87.2,2485,936,2,2,100.0,133,145,91.7,15,25,60.0,0,0.1,-0.1,1,12,2,1,11,Matches
2429,Markus Suttner\Markus-Suttner,at AUT,DFMF,Düsseldorf,de Bundesliga,32,1987,14.9,603,830,72.7,13236,5578,2,26,7.7,405,470,86.2,196,334,58.7,1,0.6,+0.4,13,74,16,5,121,Matches
2430,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,20,1999,11.7,342,417,82.0,6015,1597,8,17,47.1,270,310,87.1,64,90,71.1,2,1.5,+0.5,19,29,7,0,38,Matches
2431,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Toulouse,fr Ligue 1,25,1994,28.0,1080,1461,73.9,18954,8113,16,50,32.0,887,1075,82.5,177,336,52.7,2,1.5,+0.5,22,75,24,15,192,Matches
2432,Moussa Sylla\Moussa-Sylla,fr FRA,FW,Monaco,fr Ligue 1,19,1999,0.1,2,2,100.0,19,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2433,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,MF,Nice,fr Ligue 1,19,1999,0.4,14,18,77.8,279,47,0,1,0.0,11,13,84.6,3,4,75.0,0,0.0,0.0,0,3,0,0,2,Matches
2434,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,31,1987,12.7,198,308,64.3,2749,588,16,25,64.0,161,245,65.7,21,38,55.3,1,1.0,0.0,14,16,2,0,17,Matches
2435,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,29,1990,28.8,656,761,86.2,17645,8724,6,8,75.0,336,337,99.7,314,416,75.5,0,0.0,0.0,0,1,0,0,0,Matches
2436,Andrea Tabanelli\Andrea-Tabanelli,it ITA,MF,Lecce,it Serie A,29,1990,10.7,281,353,79.6,4862,1237,8,20,40.0,232,275,84.4,41,58,70.7,0,0.1,-0.1,5,28,6,2,29,Matches
2437,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,21,1997,2.6,43,59,72.9,1022,402,2,2,100.0,25,33,75.8,16,24,66.7,0,0.0,0.0,0,1,0,0,5,Matches
2438,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,gr GRE,MF,Lecce,it Serie A,28,1991,22.3,944,1200,78.7,20297,6689,11,41,26.8,642,746,86.1,291,413,70.5,2,1.3,+0.7,21,101,32,2,149,Matches
2439,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,23,1996,23.2,1831,2023,90.5,40146,11020,16,32,50.0,1182,1247,94.8,633,744,85.1,1,0.5,+0.5,4,103,5,1,111,Matches
2440,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,26,1993,9.8,304,410,74.1,5070,1309,9,28,32.1,245,304,80.6,50,78,64.1,2,2.0,0.0,18,21,21,3,52,Matches
2441,Mahdi Talal\Mahdi-Talal,fr FRA,FW,Amiens,fr Ligue 1,21,1997,0.2,3,4,75.0,67,37,0,1,0.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
2442,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Nice,fr Ligue 1,25,1994,5.8,206,238,86.6,3182,568,10,12,83.3,173,189,91.5,23,37,62.2,0,0.4,-0.4,7,15,6,0,16,Matches
2443,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Atalanta,it Serie A,25,1994,2.3,179,200,89.5,3279,754,4,9,44.4,149,158,94.3,26,33,78.8,0,0.2,-0.2,3,17,0,0,9,Matches
2444,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,20,1999,5.8,188,232,81.0,3242,1096,1,13,7.7,148,166,89.2,39,53,73.6,0,0.0,0.0,0,9,0,0,17,Matches
2445,Adil Taoui\Adil-Taoui,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,0.3,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
2446,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,20,1999,11.8,1010,1096,92.2,23268,5892,5,14,35.7,604,645,93.6,401,437,91.8,0,0.2,-0.2,1,35,0,0,30,Matches
2447,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,23,1995,25.5,894,1219,73.3,16472,7323,16,53,30.2,706,831,85.0,172,335,51.3,2,2.7,-0.7,26,76,30,12,164,Matches
2448,Rodrigo Tarín\Rodrigo-Tarin,es ESP,DF,Leganés,es La Liga,23,1996,10.6,191,239,79.9,4038,1455,4,4,100.0,138,160,86.3,49,75,65.3,0,0.0,0.0,1,9,1,0,10,Matches
2449,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,26,1992,38.0,913,1250,73.0,21245,7310,11,30,36.7,550,672,81.8,352,548,64.2,2,2.0,0.0,14,69,9,0,73,Matches
2450,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2.0,54,59,91.5,1589,1131,0,0,,26,26,100.0,28,33,84.8,0,0.0,0.0,0,0,0,0,0,Matches
2451,Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,fr Ligue 1,30,1988,22.2,374,556,67.3,5410,1301,20,51,39.2,317,431,73.5,37,74,50.0,2,2.4,-0.4,32,28,16,2,49,Matches
2452,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,25,1993,21.6,726,1035,70.1,13410,5643,10,51,19.6,565,666,84.8,151,318,47.5,1,1.3,-0.3,13,48,22,17,129,Matches
2453,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,30,1989,12.1,410,513,79.9,6841,2873,7,21,33.3,349,392,89.0,54,100,54.0,0,0.2,-0.2,5,22,4,1,52,Matches
2454,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,12.3,592,688,86.0,11156,3307,6,17,35.3,467,526,88.8,119,145,82.1,1,0.1,+0.9,4,44,2,0,74,Matches
2455,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,19,2000,0.7,21,24,87.5,335,83,1,1,100.0,17,20,85.0,3,3,100.0,0,0.0,0.0,1,0,0,0,1,Matches
2456,Georg Teigl\Georg-Teigl,at AUT,DFMF,Augsburg,de Bundesliga,28,1991,1.2,23,28,82.1,394,97,0,2,0.0,19,19,100.0,4,7,57.1,0,0.0,0.0,0,0,0,0,1,Matches
2457,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,23,1996,16.1,563,767,73.4,11219,5181,12,30,40.0,418,486,86.0,133,251,53.0,0,0.9,-0.9,13,56,29,15,150,Matches
2458,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,FWMF,Düsseldorf,de Bundesliga,21,1997,5.0,63,103,61.2,1222,415,2,12,16.7,45,70,64.3,16,21,76.2,1,0.3,+0.7,4,9,4,3,15,Matches
2459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,eng Premier League,20,1999,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2460,Cristian Tello\Cristian-Tello,es ESP,MFFW,Betis,es La Liga,27,1991,8.7,285,377,75.6,5128,1284,9,23,39.1,228,277,82.3,48,77,62.3,0,0.3,-0.3,7,9,7,1,39,Matches
2461,Lino Tempelmann\Lino-Tempelmann,de GER,MF,Freiburg,de Bundesliga,20,1999,0.4,7,10,70.0,126,25,0,0,,5,8,62.5,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
2462,Łukasz Teodorczyk\Lukasz-Teodorczyk,pl POL,FW,Udinese,it Serie A,28,1991,2.5,55,74,74.3,884,184,5,6,83.3,43,55,78.2,7,13,53.8,1,0.8,+0.2,5,6,1,0,7,Matches
2463,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,22,1997,7.6,264,355,74.4,4410,1906,4,10,40.0,224,268,83.6,36,77,46.8,0,0.6,-0.6,8,23,5,4,41,Matches
2464,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36.0,1250,1419,88.1,32389,19742,11,12,91.7,714,717,99.6,525,690,76.1,2,0.7,+1.3,2,8,2,0,1,Matches
2465,Simon Terodde\Simon-Terodde,de GER,FWMF,Köln,de Bundesliga,31,1988,9.0,102,165,61.8,1688,383,3,13,23.1,86,130,66.2,13,22,59.1,1,0.8,+0.2,6,6,3,0,11,Matches
2466,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,6.9,145,210,69.0,3860,1762,2,2,100.0,80,80,100.0,63,128,49.2,0,0.0,0.0,1,0,0,0,0,Matches
2467,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Lyon,fr Ligue 1,22,1997,13.3,344,440,78.2,5530,1552,10,21,47.6,290,341,85.0,44,78,56.4,2,1.3,+0.7,14,24,6,0,48,Matches
2468,Aleksa Terzić\Aleksa-Terzic,rs SRB,DF,Fiorentina,it Serie A,19,1999,0.1,3,6,50.0,72,31,0,1,0.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,1,Matches
2469,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,23,1995,11.9,684,842,81.2,12158,4508,7,39,17.9,563,635,88.7,114,168,67.9,1,1.2,-0.2,12,47,15,6,98,Matches
2470,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,eng Premier League,33,1986,26.0,1100,1242,88.6,19202,4074,13,32,40.6,895,975,91.8,192,235,81.7,1,0.8,+0.2,5,54,4,0,45,Matches
2471,Florian Thauvin\Florian-Thauvin,fr FRA,FW,Marseille,fr Ligue 1,26,1993,0.2,12,12,100.0,142,30,0,0,,12,12,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
2472,Demba Thiam\Demba-Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,2.0,54,71,76.1,1373,735,1,1,100.0,29,30,96.7,24,40,60.0,0,0.0,0.0,0,0,0,0,0,Matches
2473,Malick Thiaw\Malick-Thiaw,fi FIN,DF,Schalke 04,de Bundesliga,17,2001,0.8,27,37,73.0,518,156,0,0,,22,27,81.5,5,10,50.0,0,0.0,0.0,0,3,0,0,1,Matches
2474,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,0.8,32,41,78.0,704,315,0,0,,24,24,100.0,8,17,47.1,0,0.0,0.0,0,1,0,0,0,Matches
2475,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,17,2002,6.2,103,164,62.8,1847,730,4,15,26.7,78,107,72.9,21,42,50.0,1,0.1,+0.9,3,4,4,1,20,Matches
2476,Sada Thioub\Sada-Thioub,sn SEN,MFFW,Angers,fr Ligue 1,24,1995,16.8,555,696,79.7,8368,2606,12,37,32.4,483,559,86.4,60,100,60.0,2,2.0,0.0,26,43,19,2,80,Matches
2477,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,eng Premier League,,,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2478,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,,,3.0,156,190,82.1,2691,824,2,8,25.0,126,143,88.1,28,39,71.8,1,0.9,+0.1,9,8,9,8,26,Matches
2479,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,31,1988,26.0,992,1136,87.3,24261,8670,8,14,57.1,538,574,93.7,446,548,81.4,2,0.1,+1.9,4,48,1,0,48,Matches
2480,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,23.0,736,950,77.5,12343,3164,23,61,37.7,586,700,83.7,127,189,67.2,1,3.9,-2.9,40,69,30,8,102,Matches
2481,Erik Thommy\Erik-Thommy,de GER,DFFW,Düsseldorf,de Bundesliga,24,1994,25.1,645,910,70.9,11853,3488,22,70,31.4,492,584,84.2,131,256,51.2,4,3.9,+0.1,40,44,27,14,102,Matches
2482,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,eng Premier League,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
2483,Morten Thorsby\Morten-Thorsby,no NOR,MFDF,Sampdoria,it Serie A,23,1996,20.7,608,793,76.7,9749,2883,19,54,35.2,507,605,83.8,82,134,61.2,1,1.2,-0.2,19,45,8,3,61,Matches
