,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
207,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,20,1998,2.1,43,52,82.7,717,154,4,7,57.1,33,39,84.6,6,6,100.0,2,0.6,+1.4,3,2,2,0,4,Matches
208,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,de Bundesliga,32,1987,3.8,112,151,74.2,1911,564,1,9,11.1,90,109,82.6,21,33,63.6,0,0.4,-0.4,4,8,4,1,19,Matches
209,Marc Bartra\Marc-Bartra,es ESP,DFMF,Betis,es La Liga,28,1991,28.0,1421,1635,86.9,30955,8548,21,32,65.6,942,1019,92.4,458,584,78.4,1,1.0,0.0,3,79,6,0,69,Matches
210,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,27,1992,14.2,584,724,80.7,11724,3008,19,27,70.4,403,452,89.2,162,245,66.1,2,1.0,+1.0,17,38,21,11,83,Matches
211,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,36.0,1084,1461,74.2,20414,6624,29,61,47.5,814,996,81.7,241,404,59.7,1,1.0,0.0,12,67,12,7,91,Matches
212,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,22,1996,11.0,456,580,78.6,9458,2259,3,14,21.4,336,385,87.3,117,181,64.6,3,3.0,0.0,23,57,7,1,60,Matches
213,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,fr Ligue 1,20,1999,4.6,208,249,83.5,4086,1411,0,2,0.0,161,182,88.5,47,65,72.3,0,0.1,-0.1,1,11,1,1,13,Matches
214,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Granada,es La Liga,22,1996,4.0,100,138,72.5,1707,554,5,10,50.0,80,100,80.0,15,28,53.6,1,0.4,+0.6,7,8,3,1,16,Matches
215,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Monaco,fr Ligue 1,22,1996,11.7,517,639,80.9,8625,3222,13,26,50.0,434,500,86.8,70,113,61.9,0,1.7,-1.7,13,37,19,3,94,Matches
216,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,eng Premier League,26,1992,0.2,4,5,80.0,81,28,0,0,,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Matches
