,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,664,609,55,5,1,135,9,9,0,0,0,0,471,133,60,30,540,33,50,1,564,1,5,15,16,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,292,290,2,1,0,64,6,5,0,0,0,0,186,64,42,28,235,10,1,1,231,0,8,7,11,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,892,868,24,10,1,158,29,22,5,1,4,0,586,125,181,72,767,33,8,3,700,1,19,22,14,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17,15,2,1,0,4,1,0,1,0,0,0,13,1,3,4,11,2,0,0,12,0,0,0,3,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1222,1005,217,13,1,183,11,31,0,0,0,0,705,259,258,639,286,55,204,6,983,0,26,13,38,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,193,191,2,1,0,60,5,15,0,0,0,0,110,29,54,38,122,14,0,1,140,0,5,2,9,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,669,526,143,19,1,116,6,12,0,0,0,0,402,145,122,53,465,18,124,3,551,2,10,6,17,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,1149,984,165,51,6,254,46,113,76,38,25,6,747,204,198,147,941,18,33,6,906,9,14,23,37,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,78,77,1,1,1,7,1,0,0,0,0,0,68,0,10,15,59,2,0,0,74,0,1,0,0,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,104,99,5,2,0,32,9,14,1,0,1,0,61,18,25,19,77,4,2,0,63,1,3,4,9,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1738,1651,87,77,5,294,72,23,0,0,0,0,1291,224,223,126,1517,59,10,10,1525,10,21,20,15,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1308,1281,27,26,0,156,53,1,0,0,0,0,1028,117,163,172,1054,44,1,3,1192,3,14,9,4,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,68,49,19,3,0,5,1,2,0,0,0,0,44,14,10,7,42,2,16,0,58,0,2,1,2,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,934,903,31,9,3,188,23,36,5,3,1,0,635,174,125,124,750,31,12,13,725,3,14,28,40,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,795,771,24,0,0,354,7,31,0,0,0,0,296,292,207,52,400,112,0,46,495,4,30,19,35,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,12,11,1,0,0,5,0,0,1,0,0,0,8,2,2,2,6,2,0,1,8,0,0,1,1,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1239,1218,21,20,0,273,24,11,0,0,0,0,793,224,222,153,942,83,1,8,981,7,42,31,32,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,163,79,84,18,0,0,4,0,0,0,0,0,78,18,67,3,112,0,0,45,128,0,2,0,0,Matches
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1204,1169,35,21,5,284,27,39,7,3,1,0,634,246,324,239,791,110,2,20,857,6,33,21,41,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,622,595,27,22,0,132,21,3,1,0,0,1,488,60,74,98,489,21,1,8,548,1,7,8,10,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,201,184,17,0,1,42,2,4,0,0,0,0,101,59,41,25,126,27,0,6,149,1,8,2,6,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,458,322,136,36,0,41,7,0,0,0,0,0,220,36,202,44,331,1,0,58,363,1,7,2,0,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1466,1088,378,61,3,214,86,144,5,0,4,0,555,329,582,930,120,59,312,6,982,11,62,22,44,Matches
96,Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,426,377,49,3,0,70,7,42,0,0,0,0,267,78,81,342,15,18,46,1,335,1,9,5,14,Matches
97,Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,758,606,152,20,1,106,32,79,30,21,2,0,405,152,201,567,50,26,102,6,573,3,14,13,32,Matches
98,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,Matches
99,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,607,532,75,7,0,99,4,22,0,0,0,0,408,96,103,70,444,17,68,2,501,1,10,12,19,Matches
100,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,825,670,155,18,0,135,78,142,8,1,2,1,344,159,322,275,393,16,129,2,582,2,26,11,35,Matches
101,Janis Antiste\Janis-Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,9,7,2,0,0,0,2,1,2,1,1,0,6,1,2,0,9,0,0,0,5,0,1,0,0,Matches
102,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,507,467,40,1,5,169,14,49,0,0,0,0,249,133,125,49,335,30,25,15,325,4,10,6,36,Matches
103,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,453,357,96,3,1,49,8,36,0,0,0,0,225,95,133,29,312,10,93,1,321,4,7,8,13,Matches
104,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,22,22,0,0,0,2,0,0,0,0,0,0,16,3,3,3,18,0,0,1,17,0,1,3,0,Matches
105,Vitorino Antunes\Vitorino-Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches
106,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,846,706,140,5,4,190,23,69,30,6,6,6,479,181,186,141,537,33,105,8,603,3,16,20,39,Matches
107,Anuar\Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,101,99,2,1,0,18,1,1,1,0,0,0,76,12,13,7,82,10,0,0,86,0,1,0,1,Matches
108,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,1076,1032,44,17,6,209,30,24,11,4,5,0,834,146,96,100,936,21,4,2,911,0,14,22,30,Matches
109,Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,31,31,0,0,0,2,1,0,0,0,0,0,24,6,1,7,24,0,0,0,24,1,1,0,3,Matches
110,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,964,764,200,14,0,145,6,32,0,0,0,0,557,198,209,84,625,51,186,2,744,2,23,26,41,Matches
111,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,972,926,46,26,1,202,78,45,15,3,3,0,420,192,360,98,704,111,2,5,649,6,36,6,32,Matches
112,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,54,44,10,2,0,8,2,4,0,0,0,0,37,12,5,38,8,0,8,0,42,0,0,1,5,Matches
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1627,1583,44,39,0,281,25,13,4,1,3,0,1104,313,210,236,1319,54,1,9,1397,9,19,29,30,Matches
114,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,309,288,21,7,1,87,6,30,7,1,2,0,200,61,48,236,45,17,6,0,223,2,3,4,16,Matches
115,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1482,1417,65,63,0,204,29,0,0,0,0,0,1102,143,237,286,1058,86,2,5,1290,1,30,14,9,Matches
116,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,208,204,4,2,0,14,1,0,0,0,0,0,182,13,13,22,178,6,1,0,197,0,1,0,2,Matches
117,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1169,1022,147,51,0,166,99,29,1,0,1,0,555,211,403,285,660,92,95,7,870,5,53,17,26,Matches
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,135,96,39,10,0,9,2,0,0,0,0,0,90,7,38,10,97,1,0,26,114,0,2,0,0,Matches
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,58,45,13,3,0,1,0,0,0,0,0,0,55,0,3,4,45,0,0,9,56,1,0,0,0,Matches
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,653,540,113,0,1,98,9,24,0,0,0,0,379,119,155,28,466,33,113,2,498,3,4,7,22,Matches
