,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2045,Ionuț Radu\Ionut-Radu,ro ROU,GK,Genoa,it Serie A,22,1997,17.0,659,466,193,40,0,70,13,0,0,0,0,0,431,25,203,117,436,1,0,85,535,1,5,1,2,Matches
2046,Ștefan Radu\Stefan-Radu,ro ROU,DF,Lazio,it Serie A,32,1986,25.6,1372,1310,62,40,0,151,53,41,0,0,0,0,1005,160,207,1104,172,56,21,2,1197,2,13,12,18,Matches
2047,Boris Radunović\Boris-Radunovic,rs SRB,GK,Hellas Verona,it Serie A,23,1996,3.0,61,44,17,3,0,0,1,0,0,0,0,0,24,2,35,7,42,0,0,10,37,0,2,0,0,Matches
2048,Rafael\Rafael,br BRA,DF,Lyon,fr Ligue 1,29,1990,7.8,436,369,67,1,0,58,3,18,0,0,0,0,274,86,76,54,295,10,65,4,357,1,9,7,12,Matches
2049,Rafael\Rafael,br BRA,GK,Cagliari,it Serie A,37,1982,5.0,153,87,66,19,0,17,4,0,0,0,0,0,68,9,76,95,34,0,0,16,107,2,2,0,0,Matches
2050,Raffael\Raffael,br BRA,MF,M'gladbach,de Bundesliga,34,1985,0.7,48,43,5,1,0,12,3,3,3,2,1,0,32,10,6,5,40,3,0,0,37,0,1,3,2,Matches
2051,Rafinha\Rafinha,br BRA,FWMF,Barcelona,es La Liga,26,1993,2.1,164,154,10,2,0,37,6,12,6,1,5,0,128,15,21,135,23,3,2,1,142,0,2,2,3,Matches
2052,Rafinha\Rafinha,br BRA,MF,Celta Vigo,es La Liga,26,1993,23.5,1317,1261,56,42,3,402,34,27,4,2,0,0,1004,165,148,1063,175,28,8,19,1138,4,13,17,29,Matches
2053,Daniele Ragatzu\Daniele-Ragatzu,it ITA,MFFW,Cagliari,it Serie A,27,1991,3.5,172,163,9,1,0,20,8,9,5,4,1,0,126,23,23,33,133,4,2,0,139,0,6,3,5,Matches
2054,Baba Rahman\Baba-Rahman,gh GHA,DF,Mallorca,es La Liga,25,1994,1.2,60,42,18,0,0,13,2,6,0,0,0,0,25,25,10,27,9,5,18,0,42,1,1,2,2,Matches
2055,Antonio Raillo\Antonio-Raillo,es ESP,DF,Mallorca,es La Liga,27,1991,30.8,1155,1096,59,56,0,193,30,0,0,0,0,0,778,137,240,289,733,88,3,4,959,3,28,10,6,Matches
2056,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,23,1995,27.0,998,708,290,88,0,79,28,0,0,0,0,0,544,54,400,130,702,1,0,120,736,2,22,2,3,Matches
2057,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Barcelona,es La Liga,31,1988,17.7,1485,1410,75,33,6,170,47,32,31,17,4,1,1109,209,167,174,1237,45,11,8,1322,4,9,26,24,Matches
2058,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,de Bundesliga,24,1994,17.8,342,307,35,1,2,69,16,20,1,1,0,0,201,80,61,36,272,19,10,4,232,2,6,10,23,Matches
2059,Gastón Ramírez\Gaston-Ramirez,uy URU,MFFW,Sampdoria,it Serie A,28,1990,15.5,641,531,110,46,3,163,36,105,55,29,21,3,323,126,192,546,39,22,6,8,457,2,11,6,13,Matches
2060,Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Valladolid,es La Liga,24,1995,14.5,376,338,38,0,0,74,16,36,20,9,4,4,246,73,57,35,306,23,1,5,273,3,12,9,12,Matches
2061,Iván Ramis\Ivan-Ramis,es ESP,DF,Eibar,es La Liga,34,1984,5.1,198,185,13,13,0,23,15,1,0,0,0,0,113,30,55,29,145,19,0,0,166,0,3,0,0,Matches
2062,Adrián Ramos\Adrian-Ramos,co COL,FW,Granada,es La Liga,33,1986,2.5,75,72,3,0,0,18,1,3,0,0,0,0,35,20,20,15,34,15,0,1,49,0,2,1,4,Matches
2063,Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,es La Liga,33,1986,33.5,2144,2078,66,60,3,199,140,2,0,0,0,0,1534,268,342,284,1716,91,6,8,1963,2,29,13,17,Matches
2064,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,eng Premier League,21,1998,37.0,1124,702,422,133,1,107,33,1,0,0,0,0,423,51,650,58,811,1,0,185,648,4,46,3,5,Matches
2065,Aaron Ramsey\Aaron-Ramsey,wal WAL,MF,Juventus,it Serie A,28,1990,11.7,746,725,21,10,1,130,12,18,3,1,1,1,574,108,64,118,582,21,7,8,649,2,13,12,10,Matches
2066,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,32,1987,2.0,40,22,18,4,0,1,0,0,0,0,0,0,4,1,35,0,30,0,0,3,22,1,0,0,0,Matches
2067,Luca Ranieri\Luca-Ranieri,it ITA,DF,Fiorentina,it Serie A,20,1999,2.6,159,145,14,7,0,5,3,3,0,0,0,0,112,12,35,141,6,4,7,0,137,0,1,0,5,Matches
2068,Andrea Ranocchia\Andrea-Ranocchia,it ITA,DF,Inter,it Serie A,31,1988,5.8,337,328,9,9,0,41,7,0,0,0,0,0,256,31,50,40,263,16,0,2,298,3,4,2,1,Matches
2069,Tobias Raschl\Tobias-Raschl,de GER,MF,Dortmund,de Bundesliga,19,2000,0.3,16,16,0,0,0,0,1,0,0,0,0,0,14,2,0,2,13,1,0,0,15,0,0,0,0,Matches
2070,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,eng Premier League,21,1997,29.4,988,961,27,2,8,162,25,32,9,5,1,2,742,120,126,89,833,28,8,14,758,3,18,26,43,Matches
2071,Milot Rashica\Milot-Rashica,xk KVX,FW,Werder Bremen,de Bundesliga,23,1996,25.2,702,610,92,22,0,139,44,130,44,18,20,5,374,136,192,129,527,26,9,7,470,1,12,15,37,Matches
2072,Giacomo Raspadori\Giacomo-Raspadori,it ITA,MFFW,Sassuolo,it Serie A,19,2000,2.9,115,112,3,0,0,19,4,2,1,0,1,0,97,10,8,36,76,3,0,0,94,0,1,1,6,Matches
2073,Raúl\Raul,es ESP,FWMF,Betis,es La Liga,18,2000,0.2,7,6,1,0,0,2,0,0,0,0,0,0,5,1,1,0,5,1,0,0,4,0,1,0,0,Matches
2074,Ante Rebić\Ante-Rebic,hr CRO,FW,Eint Frankfurt,de Bundesliga,25,1993,1.0,18,17,1,0,0,5,0,0,0,0,0,0,10,6,2,2,15,0,0,1,9,0,0,1,5,Matches
2075,Ante Rebić\Ante-Rebic,hr CRO,FW,Milan,it Serie A,25,1993,15.5,435,417,18,1,1,85,12,46,3,1,0,0,243,108,84,121,263,16,8,15,268,2,10,6,29,Matches
2076,Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,SPAL,it Serie A,24,1995,21.4,971,787,184,6,0,158,16,63,0,0,0,0,538,206,227,494,240,47,178,4,714,1,27,20,50,Matches
2077,Recio\Recio,es ESP,MF,Leganés,es La Liga,28,1991,17.4,861,819,42,35,0,208,28,23,4,1,2,0,615,113,133,27,795,29,2,1,744,3,12,14,14,Matches
2078,Daishawn Redan\Daishawn-Redan,nl NED,FW,Hertha BSC,de Bundesliga,18,2001,0.2,7,7,0,0,0,1,1,0,0,0,0,0,4,3,0,2,5,0,0,0,6,0,0,0,1,Matches
2079,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,eng Premier League,25,1994,30.7,1061,1043,18,1,5,298,37,42,0,0,0,0,701,190,170,80,925,33,3,3,781,6,25,28,45,Matches
2080,Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,de Bundesliga,21,1997,1.0,19,18,1,0,0,5,0,1,0,0,0,0,9,9,1,2,13,1,1,0,9,0,0,1,1,Matches
2081,Vasco Regini\Vasco-Regini,it ITA,DF,Sampdoria,it Serie A,28,1990,1.9,65,59,6,4,0,10,5,1,0,0,0,0,37,9,19,39,14,7,2,0,54,0,1,0,0,Matches
2082,Vasco Regini\Vasco-Regini,it ITA,DF,Parma,it Serie A,28,1990,0.6,22,21,1,1,0,0,0,0,0,0,0,0,19,2,1,19,3,0,0,0,21,0,0,1,0,Matches
2083,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Sevilla,es La Liga,22,1996,27.9,1789,1529,260,25,1,184,52,103,1,0,0,0,1100,298,391,1334,152,49,234,2,1425,5,27,35,56,Matches
2084,Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,de Bundesliga,32,1986,5.9,253,189,64,0,0,50,3,17,1,0,1,0,110,71,72,140,34,11,63,0,183,0,7,3,10,Matches
2085,Manolo Reina\Manolo-Reina,es ESP,GK,Mallorca,es La Liga,34,1985,36.0,1194,767,427,118,1,129,14,0,0,0,0,0,428,62,704,77,852,0,1,182,741,1,33,5,2,Matches
2086,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,eng Premier League,36,1982,12.0,395,254,141,48,0,47,16,0,0,0,0,0,139,28,228,33,290,0,0,47,272,3,13,1,0,Matches
2087,Pepe Reina\Pepe-Reina,es ESP,GK,Milan,it Serie A,36,1982,1.0,37,26,11,4,0,3,0,0,0,0,0,0,15,2,20,1,27,0,0,6,27,1,0,0,0,Matches
2088,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,MFFW,Lyon,fr Ligue 1,21,1998,8.7,427,407,20,5,1,106,10,15,7,6,1,0,338,49,40,45,371,3,4,1,366,0,1,11,11,Matches
2089,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,MF,Angers,fr Ligue 1,21,1998,0.9,36,34,2,0,1,6,1,0,0,0,0,0,31,3,2,5,29,1,0,1,29,0,3,2,0,Matches
2090,Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,de Bundesliga,24,1994,14.0,697,668,29,25,0,136,25,2,0,0,0,0,530,44,123,543,115,25,4,0,621,2,12,4,5,Matches
2091,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,24,1995,25.0,910,676,234,91,0,95,29,0,0,0,0,0,453,71,386,116,668,1,0,80,683,1,25,2,2,Matches
2092,Loïc Rémy\Loic-Remy,fr FRA,FW,Lille,fr Ligue 1,32,1987,10.7,221,208,13,0,0,54,6,6,0,0,0,0,141,55,25,17,172,13,2,5,177,0,2,4,9,Matches
2093,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Leverkusen,de Bundesliga,20,1998,1.3,99,91,8,2,0,15,1,0,0,0,0,0,80,11,8,20,68,3,6,1,85,0,1,3,3,Matches
2094,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,de Bundesliga,30,1989,16.6,657,619,38,22,8,153,11,16,0,0,0,0,485,110,62,137,496,14,1,6,544,3,8,25,22,Matches
2095,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MF,Köln,de Bundesliga,21,1997,6.9,233,224,9,3,1,41,9,13,2,2,0,0,131,47,55,164,43,14,4,2,168,0,6,4,11,Matches
2096,Giovanni Reyna\Giovanni-Reyna,us USA,MFFW,Dortmund,de Bundesliga,16,2002,3.9,222,219,3,1,0,25,6,6,0,0,0,0,182,25,15,26,183,7,2,2,192,0,2,6,6,Matches
2097,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Toulouse,fr Ligue 1,28,1990,22.6,845,543,302,75,0,82,30,0,0,0,0,0,290,43,512,73,626,0,0,80,517,3,34,1,1,Matches
2098,Nico Ribaudo\Nico-Ribaudo,es ESP,FWMF,Espanyol,es La Liga,18,2001,2.0,73,70,3,2,0,20,1,4,1,1,0,0,49,15,9,7,64,1,0,0,55,0,1,2,5,Matches
2099,Franck Ribéry\Franck-Ribery,fr FRA,FW,Fiorentina,it Serie A,36,1983,15.7,740,727,13,6,8,126,26,15,0,0,0,0,591,76,73,77,642,7,5,6,623,2,12,12,27,Matches
2100,Davide Riccardi\Davide-Riccardi,it ITA,DF,Lecce,it Serie A,23,1996,0.2,3,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,Matches
2101,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,eng Premier League,20,1999,38.0,1717,1685,32,28,2,323,81,26,0,0,0,0,1192,236,289,300,1286,89,4,2,1476,3,36,21,26,Matches
2102,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,de Bundesliga,19,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,4,0,0,0,0,Matches
2103,Richarlison\Richarlison,br BRA,FW,Everton,eng Premier League,22,1997,34.1,823,800,23,2,4,257,11,56,2,0,1,0,498,200,125,185,542,43,7,7,543,2,28,24,75,Matches
2104,Marco Richter\Marco-Richter,de GER,MFFW,Augsburg,de Bundesliga,21,1997,25.3,596,570,26,6,8,156,42,54,7,3,3,0,276,147,173,144,384,30,11,7,361,6,19,20,35,Matches
2105,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,eng Premier League,26,1993,25.9,1482,1102,380,61,4,205,38,174,72,36,23,6,643,367,472,1060,70,84,247,2,1011,5,40,35,63,Matches
2106,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,25,1993,2.0,49,32,17,3,0,5,1,0,0,0,0,0,33,4,12,16,27,0,0,6,38,0,1,0,0,Matches
2107,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,eng Premier League,22,1996,8.5,400,324,76,11,0,58,6,6,0,0,0,0,226,72,102,281,27,23,65,0,301,1,7,11,3,Matches
2108,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Sampdoria,it Serie A,26,1993,4.8,193,161,32,9,0,44,13,41,16,4,6,2,102,41,50,122,55,5,6,0,124,0,4,4,11,Matches
2109,Tomás Rincón\Tomas-Rincon,ve VEN,MF,Torino,it Serie A,31,1988,30.0,1303,1207,96,58,1,232,58,23,1,0,1,0,817,194,292,155,1006,51,37,6,1071,5,29,13,21,Matches
2110,Luis Rioja\Luis-Rioja,es ESP,MF,Alavés,es La Liga,25,1993,18.2,436,413,23,8,0,73,7,56,5,1,3,0,280,69,87,350,39,27,8,4,306,3,11,9,32,Matches
2111,Renaud Ripart\Renaud-Ripart,fr FRA,FWDF,Nîmes,fr Ligue 1,26,1993,22.5,643,563,80,1,2,156,13,30,0,0,0,0,338,167,138,88,386,48,49,12,427,6,21,18,38,Matches
2112,Rodrigo Riquelme\Rodrigo-Riquelme,es ESP,MF,Atlético Madrid,es La Liga,19,2000,0.1,3,3,0,0,0,2,0,1,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,Matches
2113,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Lecce,it Serie A,30,1988,21.2,1093,947,146,18,0,136,21,88,3,0,0,1,564,228,301,96,831,27,125,4,841,5,12,22,43,Matches
2114,Marcel Risse\Marcel-Risse,de GER,MFFW,Köln,de Bundesliga,29,1989,1.5,70,57,13,2,0,14,7,16,6,1,3,2,23,15,32,3,62,0,5,0,35,0,2,1,10,Matches
2115,Mihailo Ristić\Mihailo-Ristic,rs SRB,DFMF,Montpellier,fr Ligue 1,23,1995,9.0,375,319,56,5,0,73,15,28,0,0,0,0,213,74,88,249,63,6,51,0,281,0,8,10,23,Matches
2116,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,eng Premier League,29,1989,14.6,691,533,158,27,0,143,47,100,57,23,24,3,338,148,205,466,111,25,74,4,474,3,11,9,30,Matches
2117,Marlon Ritter\Marlon-Ritter,de GER,MF,Paderborn 07,de Bundesliga,24,1994,4.8,203,168,35,17,0,34,15,24,14,4,6,2,112,35,56,16,173,6,4,4,135,1,3,7,8,Matches
2118,Cristian Rivera\Cristian-Rivera,es ESP,MF,Leganés,es La Liga,22,1997,3.5,132,128,4,3,0,9,3,2,0,0,0,0,102,13,17,16,105,8,0,0,114,0,2,0,1,Matches
2119,Maxence Rivera\Maxence-Rivera,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2002,0.3,8,7,1,1,0,2,0,1,0,0,0,0,4,2,2,0,8,0,0,0,4,0,2,1,0,Matches
2120,Rober\Rober,es ESP,DF,Levante,es La Liga,24,1995,2.1,93,90,3,3,0,14,2,0,0,0,0,0,63,10,20,14,71,4,0,0,80,0,2,1,0,Matches
2121,Roberto\Roberto,es ESP,GK,West Ham,eng Premier League,33,1986,7.6,232,155,77,36,0,14,2,0,0,0,0,0,53,13,166,7,181,0,0,26,113,1,4,0,0,Matches
2122,Roberto\Roberto,es ESP,GK,Alavés,es La Liga,33,1986,8.8,238,127,111,42,0,9,10,0,0,0,0,0,31,5,202,4,201,0,0,9,122,0,15,0,1,Matches
2123,Sergi Roberto\Sergi-Roberto,es ESP,DFMF,Barcelona,es La Liga,27,1992,26.0,2132,2001,131,22,11,277,18,29,3,0,0,0,1711,267,154,284,1670,56,106,2,1964,5,8,27,29,Matches
2124,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,eng Premier League,22,1997,0.3,10,9,1,0,0,1,1,0,0,0,0,0,7,2,1,9,1,0,0,0,7,0,0,1,0,Matches
2125,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,25,1994,34.6,2928,2536,392,49,5,319,85,204,43,7,26,1,1834,521,573,2332,186,93,300,2,2370,4,44,36,82,Matches
2126,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,eng Premier League,24,1995,7.5,155,146,9,0,1,38,9,15,0,0,0,0,105,26,24,31,114,4,1,2,117,0,5,3,7,Matches
2127,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,25,1993,5.6,257,230,27,9,1,23,9,6,0,0,0,0,160,22,75,184,32,16,18,1,193,0,13,1,7,Matches
2128,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,29,1990,32.1,1152,809,343,97,0,124,33,0,0,0,0,0,611,72,469,131,850,5,1,135,847,3,36,4,3,Matches
2129,Marc Roca\Marc-Roca,es ESP,MF,Espanyol,es La Liga,22,1996,33.4,1731,1653,78,59,6,232,90,57,16,7,6,1,1045,216,470,1287,307,103,1,10,1389,6,30,15,29,Matches
2130,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,es La Liga,28,1991,20.8,967,868,99,29,9,161,64,68,26,17,4,0,527,170,270,798,107,25,16,8,700,10,33,10,24,Matches
2131,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,28,1990,21.5,1209,1155,54,23,1,202,34,20,16,1,10,0,755,265,189,195,893,80,9,14,1025,4,19,19,22,Matches
2132,Rodri\Rodri,es ESP,MF,Manchester City,eng Premier League,23,1996,27.6,2537,2505,32,30,0,478,100,8,0,0,0,0,1978,272,287,339,2056,87,2,12,2363,1,21,17,19,Matches
2133,Rodrigo\Rodrigo,es ESP,FW,Valencia,es La Liga,28,1991,20.9,632,617,15,1,5,159,25,32,0,0,0,0,401,116,115,488,70,34,3,14,479,3,16,8,15,Matches
2134,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Leganés,es La Liga,25,1994,21.5,790,635,155,37,1,143,54,140,40,8,25,2,354,157,279,543,115,38,75,1,523,3,24,16,39,Matches
2135,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DF,Real Sociedad,es La Liga,25,1994,0.1,7,7,0,0,0,1,0,0,0,0,0,0,4,1,2,5,1,0,0,0,4,0,0,0,2,Matches
2136,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Leganés,es La Liga,21,1998,21.3,804,693,111,35,5,152,42,96,42,14,19,2,464,110,230,103,650,32,2,3,548,1,25,22,30,Matches
2137,Ángel Rodríguez\Angel-Rodriguez,es ESP,FW,Getafe,es La Liga,32,1987,15.6,315,307,8,1,0,88,10,25,0,0,0,0,165,76,74,34,234,18,2,9,197,2,13,7,16,Matches
2138,Dani Rodríguez\Dani-Rodriguez,es ESP,MFFW,Mallorca,es La Liga,31,1988,33.8,1161,1084,77,45,1,286,57,54,14,2,4,2,777,172,212,205,878,38,7,8,945,4,23,20,32,Matches
2139,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,es La Liga,25,1994,10.4,514,494,20,20,0,85,20,1,0,0,0,0,344,79,91,38,432,31,0,1,442,0,4,6,9,Matches
2140,James Rodríguez\James-Rodriguez,co COL,MF,Real Madrid,es La Liga,28,1991,4.7,305,274,31,13,4,52,16,26,13,1,7,2,197,37,71,280,12,6,4,1,239,2,6,6,9,Matches
2141,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,eng Premier League,30,1989,22.4,495,481,14,2,1,149,10,14,0,0,0,0,245,151,99,20,355,45,1,18,345,0,6,10,26,Matches
2142,Mario Rodriguez\Mario-Rodriguez,es ESP,FW,Granada,es La Liga,22,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2143,Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Milan,it Serie A,26,1992,4.3,285,246,39,7,0,28,23,5,2,1,0,0,190,39,56,190,49,10,30,0,242,0,4,6,6,Matches
2144,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,es La Liga,18,2001,11.3,511,501,10,1,2,74,11,37,1,0,0,0,398,53,60,35,447,9,8,3,430,1,6,5,16,Matches
2145,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,eng Premier League,28,1991,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,Matches
2146,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,24,1995,25.7,1176,1105,71,42,2,217,34,42,24,7,10,5,856,175,145,85,1029,40,5,1,1005,5,13,15,31,Matches
2147,Agustín Rogel\Agustin-Rogel,uy URU,DF,Toulouse,fr Ligue 1,21,1997,9.5,338,326,12,11,0,41,4,0,0,0,0,0,262,31,45,55,257,14,1,0,295,0,6,1,2,Matches
2148,Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,21,1998,11.3,706,600,106,19,0,85,12,42,1,0,1,0,467,122,117,563,34,18,86,0,596,3,13,9,22,Matches
2149,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,eng Premier League,29,1990,1.4,55,45,10,2,0,6,2,3,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches
2150,Filippo Romagna\Filippo-Romagna,it ITA,DF,Sassuolo,it Serie A,22,1997,16.4,1026,1000,26,25,1,133,15,0,0,0,0,0,889,51,86,91,878,39,1,4,971,2,6,3,2,Matches
2151,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,24,1995,34.3,1964,1902,62,53,1,194,47,0,0,0,0,0,1495,215,254,1602,235,65,9,6,1806,2,16,6,9,Matches
2152,Alaixys Romao\Alaixys-Romao,tg TOG,MF,Reims,fr Ligue 1,35,1984,19.8,979,928,51,47,2,214,25,5,0,0,0,0,642,184,153,131,791,30,4,7,818,0,16,23,15,Matches
2153,Cristian Romero\Cristian-Romero,ar ARG,DF,Genoa,it Serie A,21,1998,28.6,1535,1418,117,75,0,225,29,3,0,0,0,0,1193,142,200,123,1290,42,42,8,1350,2,7,18,14,Matches
2154,Luka Romero\Luka-Romero,ar ARG,MF,Mallorca,es La Liga,14,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Matches
2155,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,eng Premier League,27,1991,20.7,1038,1018,20,19,4,210,21,6,0,0,0,0,673,169,196,190,736,75,1,8,866,1,11,15,11,Matches
2156,Rômulo\Romulo,it ITA,MF,Brescia,it Serie A,32,1987,19.1,548,517,31,19,0,141,14,37,5,1,1,1,378,85,85,50,463,17,7,6,438,2,10,12,23,Matches
2157,Rômulo\Romulo,it ITA,DF,Genoa,it Serie A,32,1987,0.2,8,6,2,1,0,1,0,0,0,0,0,0,5,2,1,0,7,0,1,0,5,0,0,0,1,Matches
2158,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,34,1985,32.4,1289,1244,45,11,3,306,22,35,3,0,0,0,1014,180,95,211,1013,10,24,22,1086,4,10,26,52,Matches
2159,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,32,1987,14.2,585,491,94,20,2,123,24,9,0,0,0,0,272,128,185,68,369,51,74,2,452,1,17,3,12,Matches
2160,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,24,1994,19.9,1264,1243,21,17,1,224,34,7,1,1,0,0,937,193,134,185,1011,43,3,3,1097,4,22,18,23,Matches
2161,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Nantes,fr Ligue 1,24,1994,3.0,179,166,13,6,1,32,8,6,2,2,0,0,128,17,34,28,140,8,2,0,154,0,2,5,1,Matches
2162,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,28,1991,30.2,2021,1958,63,41,3,279,54,21,0,0,0,0,1544,222,255,257,1639,68,22,4,1758,5,24,20,37,Matches
2163,Roberto Rosales\Roberto-Rosales,ve VEN,DF,Leganés,es La Liga,30,1988,20.8,919,694,225,10,0,109,43,82,8,0,5,0,362,232,325,156,481,55,207,5,634,6,28,8,37,Matches
2164,Antonio Rosati\Antonio-Rosati,it ITA,GK,Torino,it Serie A,36,1983,1.0,37,21,16,1,0,0,0,0,0,0,0,0,15,1,21,2,29,0,0,6,27,1,0,0,1,Matches
2165,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,eng Premier League,29,1990,9.9,572,480,92,17,0,69,5,39,1,0,1,0,353,91,128,412,67,13,74,0,435,3,1,15,22,Matches
2166,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,eng Premier League,29,1990,9.6,419,358,61,14,0,49,8,8,0,0,0,0,247,86,86,298,49,18,47,0,325,2,6,5,15,Matches
2167,Luca Rossettini\Luca-Rossettini,it ITA,DF,Lecce,it Serie A,34,1985,25.1,1029,981,48,45,1,77,47,1,0,0,0,0,693,116,220,209,757,42,3,6,889,3,13,9,3,Matches
2168,Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,it Serie A,28,1991,0.1,3,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,1,3,0,0,0,0,Matches
2169,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,26,1993,26.3,1087,841,246,7,0,156,21,71,0,0,0,0,504,259,324,662,113,55,239,7,786,2,21,11,62,Matches
2170,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,31,1988,6.5,137,121,16,1,0,34,3,7,0,0,0,0,74,45,18,2,114,13,0,2,97,0,0,3,10,Matches
2171,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,17,2001,1.2,68,67,1,1,0,7,3,2,0,0,0,0,50,7,11,5,59,4,0,0,58,0,0,1,1,Matches
2172,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Hellas Verona,it Serie A,25,1994,35.9,1517,1434,83,39,1,216,17,14,0,0,0,0,1005,171,341,163,1162,102,44,4,1221,5,46,11,26,Matches
